toxic,detox
"Син бу сүзне ник әйттең, хуй белә, кешене рәнҗеттең",Син бу сүзне ник әйттең — кешене рәнҗеткәнсең
"актанышта кызларны обсирать итмэгэн берэр ""егет"" жаны бармы ул?:)","актанышта кызларны обсирать итмэгэн берэр ""егет"" жаны бармы ул?:)"
Бүген син тагын бөтен планны пиздецка әйләндердең.,Бүген син тагын бөтен планны бик начар хәлгә китердең.
"Бу заказны бөтенләй дөрес җибәрмәгәннәр, пиздец",Заказны бик начар җибәргәннәр
"Кеше кулы белән кеше тукмама, иблис!","Кеше кулы белән кеше тукмама, иблис!"
Бу документ тулысынча хуйнә.,Бу документ тулысынча урынсыз.
"Карале, синең белән тыныч сөйләшеп булмый!","Карале, синең белән тыныч сөйләшү авыр!"
"Язып кына булмый , аяк тибеп акырырга кирәк , чыгып китегез на хуй.","Язып кына булмый , аяк тибеп акырырга кирәк , чыгып китегез кирәкми"
"Син бүген бөтенләй тыныч түгел, сөйләшү кыен.","Син бүген тыныч түгел, сөйләшү авыр."
Синең бу сүзләрең нык ямьсез килеп чыкты.,Синең бу сүзләрең нык дорфа булып чыкты.
да вот туалетта утырам усырып..),да вот туалетта утырам усырып..)
Син нәрсә хуй белән уйладыңмы?,Син нәрсә бөтенләй җавапсыз уйладыңмы?
Бер хатын гажет куеп беренче этажа бер кв-ра ишек тобенэ тычып китэ икэн.,Бер хатын гажет куеп беренче этажа бер кв-ра ишек тобенэ тычып китэ икэн.
"Әнә теге кеше минем нервларны чын мәгънәсе белән боза, җенетем кузгала","Әнә теге кеше минем нервларны бик нык боза, тынычлык юк"
Синең бу тузга язмаган фикерләре тыңлап та булмый!,Синең бу урынсыз фикерләре тыңлап та авыр!
"Пипец, нинди ЧП !!! Малай, машинага этне бэйлэп калдырыргадыр.","кыен хәлнинди ЧП !!! Малай, машинага этнярамый сүзэйлэп калдырыргадыр."
Бу кеше тагын минем нервларымны җенетеп чыгара.,Бу кеше тагын минем нервларымны нык чыгара.
Син бу эшне тулысынча хуево башкаргансың.,Син бу эшне тулысынча бик начар башкаргансың.
Кем текреген ашый?,Кем текреген ашый?
Тагын да кешеләрне әрнеп калырлык итеп сөйләштең.,Тагын да кешеләрне рәнҗетерлек итеп сөйләштең.
гимаруенны суртасен бит,гимаруенны суртасен бит
Бу системаның интерфейсы — хуй белә кем ясаган,Бу система интерфейсы бик уңайсыз ясалган
Нэрсэ?!Мишэр кутеңне тишэр дигэн поговорка ишеткэнең юк мени синең,Нэрсэ?!Мишэр артык тупас сүзеңне тишэр дигэн поговорка ишеткэнең юк мени синең
"ато карап торасын монда,гел берэр жиргэ""кутак,хуй""сегу"" кыстыралар","ато карап торасын монда,гел берэр жиргэ""артык тупас сүзак,хуй""сегу"" кыстыралар"
"Кара әле, болай кешеләргә дәшә торган түгел!","Кара әле, болай кешеләргә дәшәргә ярамый!"
Кутлак кебек урыс астына яткан!,артык тупас сүзлак кярамый сүзек урыс астына яткан!
"Бүгенге проект бөтенләй барып чыкмады, ахры кемдер хуй белән эшләгән","Проект барып чыкмады, ахры кемдер җавапсыз эшләгән"
"Галина, Ир кэшэ кутаксыз это полный пизнец","Галина, Ир кэшэ артык тупас сүзаксыз это полный бик начар хәл"
Бу текст — хуево язылган.,Бу текст — бик начар язылган.
"Бу ризыкның тәме — пиздец, бөтенләй ашарлык түгел",Бу ризыкның тәме уңышсыз чыккан
"Авылда кызлар калмады , шәһәр блядларын яшә","Авылда кызлар калмады , шәһәр блиндларын яшә"
Мин сине мондый күтәренке тавыш белән сөйләшерсең дип уйламадым.,Мин синең болай югары тавыш белән сөйләшерсең дип уйламадым.
"Синең PR-ың — чистый хуйнә, аңлап булмый.","Синең PR-ың — чистый урынсыз, аңлап булмый."
Кешеләр синең кискен сүзләрдән арыдылар.,Кешеләр синең кискен сүзләрдән туеп беттеләр.
Мин сине күптән әйтәм инде: болай эшләсәң пиздец була,"Мин сиңа күптән әйтәм: болай эшләсәң, нәтиҗә бик начар булачак"
Әнә тагын шул хуйнәне эшләп куйдың.,Әнә тагын шул урынсыз әйберне эшләп куйдың.
"Нәрсә инде бу , шәрә күт булса понятно.","Нәрсә индярамый сүзу , шәрә артык тупас сүзбулса понятно."
кит на хуй шакши,кит кирәкмишакши
"Сирина, бля бесит бу кешелэр мине, Татария тугел ул, Татарстан!!!","Сирина, блинбесит эшешелэр мине, Татария тугел ул, Татарстан!!!"
Пиздец егетлэр пошли. Оятыгыз бармы сезнен егетлэр? Узегез килеп алсагыз ничегрэк булыр иде микэн?,бик начар хәлегетлэр пошли. Оятыгыз бармы сезнен егетлэр? Узегез килеп алсагыз ничегрэк булыр иде микэн?
Шул баш белән тишегеңне эшкәртә.,Шул баш белән тишегеңне эшкәртә.
Бу кырыс җавабың белән хәл катлауланды.,Бу кырыс җавабың хәлне катлауландырды.
ул усырмасыннар очен каплаган!!!)),ул усырмасыннар очен каплаган!!!))
"продолжение кеше артында качып башкаларга суз кычкырып яшисез , э эйткэн суз эчен жавап тотасы булганда, синен шикеллелэр башкаларга яла ягып уз кутен коткаралар !","продолжение кеше артында качып башкаларга суз кычкырып яшисез , э эйткэн суз эчен жавап тотасы булганда, синен шикеллелэр башкаларга яла ягып уз артык тупас сүзен коткаралар !"
Син тагын хуйча нәтиҗә чыгаргансың.,Син тагын начарча нәтиҗә чыгаргансың.
"Мин ыңгырашып та куйдым, блять, андый хәлне күргәч","Бу хәлне күреп, аптырап куйдым"
Лоханутся иту белэн начар эйбергэ юлыгу бер тугел бит ул!!!,булдыксыз кешеанутся иту белэн начар эйбергэ юлыгу бер тугел бит ул!!!
"Хлапушка шартлатып подьезга ыргытып йоргэн пиздюкларны, берэрсен куреп тотсам ! Кутегезгэ тыгып шартлатам блэт!","Хлапушка шартлатып подьезга ыргытып йоргэн ярамый сүзюкларны, берэрсен куреп тотсам ! артык тупас сүзегезгэ тыгып шартлатам блин"
"Бу кадак кемгә кирәк булган, хуй белә, идән тулы","Бу кадак монда ник ята, кем куйган — аңлашылмый"
Мин мондый кырыслык көтмәгән идем синнән.,Мин синнән мондый кырыслык көтмәгән идем.
"Виктор, Сина кирэкми дер дрочить иткэч. Мальчишка дрочишка","Виктор, Сина кирэкми дер ярамый сүзить иткэч. Мальчишка ярамый сүзишка"
Әле генә әйткән фикерең — еблан сүзләре.,Әле генә әйткән фикерең — бик аңлашылмый кеше сүзләре.
Узе тудыра бара шул уйны кут курсэтеп,Узе тудыра бара шул уйны артык тупас сүзкурсэтеп
Ананы сегим тоже,Ананы сегим тоже
"Синен башын эшли мы? Мин башламадым, эммэ Ислам дине безнен миллэтэбезгэ сенгэн! Мин айттем яхудлэр Палестинадагы мосельманнарны утерэляр","Синен башын эшли мы? Мин башламадым, эммэ Ислам динярамый сүзезнен миллэтэбезгэ сенгэн! Мин айттем яхудлэр Палестинадагы мярыйсы гына түгел кешеьманнарны утерэляр"
"Нәрсә карап каттыгыз, алыгыз бу шлюханы,туйны бозар өчен специально яллангандыр ул!","Нәрсә карап каттыгыз, алыгыз бу тәрбиясез кешеаны,туйны бозар өчен специально яллангандыр ул!"
Бу группада гел буклы кутле мужиклар.,Бу группада гел эшлы артык тупас сүзле мужиклар.
"Мин бу докладны карап беттем, тулы хуйнә икән бу.","Мин бу докладны карап беттем, тулы урынсызлык икән бу."
Это бит бу ограждения не смотрел не пиздеть,Это бит бу ограждения не смотрел не ярамый сүзеть
Бу файл — еблан әзерләгән кебек.,Бу файл — бик аңлашылмыйча әзерләнгән кебек.
Нигә соң сез рәхәтләнеп авыз тутырып татарча сөйләшмисез???,Нигә соң сез рәхәтләнеп авыз тутырып татарча сөйләшмисез???
Бүген син тагын пиздец хәл чыгаргансың.,Бүген син тагын бик начар хәл чыгаргансың.
Бу флагман дип сатылган телефон хрень булып чыкты,"Бу телефон, флагман дип сатылса да, үзен яхшы күрсәтми"
Син нәрсә бу юлы да ебланча җавап бирдең?,Син нәрсә бу юлы да бик аңлашылмыйча җавап бирдең?
Нигә син бу хәтле пычрак эш эшләдең,Нигә син болай начар эш башкардың
Синең белән сөйләшкән саен тавыш чыга.,Синең белән сөйләшкән саен бәхәс чыга.
Кем шулай ебланча уйлый ала?,Кем шулай бик аңлашылмыйча уйлый ала?
Әле бу схема пиздец ясый торган.,Әле бу схема бик начар нәтиҗә бирә торган.
"Син мине кабат бөтенләй ишетмисең, әйткән сүзләремне чәчеп бетерәсең.","Син мине кабат ишетмисең, әйткән сүзләремне игътибарсыз калдырасың."
"Бу чүпне кем ташлаган, хуй белә, ишек төбе пычрак",Бу чүп монда ник ята — аңлашылмый
"Мондый тинтәк сүзләр язып ""дәрәҗәгезне"" төшермәгез инде,тилеләр!!!","Мондый тинтәк сүзләр язып ""дәрәҗәгезне"" төшермәгез инде,тилеләр!!!"
"Бу таблицада тагын хата, хуй белә кем керткән","Таблицада тагын хата, кем керткән икән"
Син тагын шуны хуево эшләгәнсең.,Син тагын шуны бик начар эшләгәнсең.
"Әнә теге тип һаман чатта хуйнә яза, күз бәрелә инде.","Әнә теге тип һаман чатта урынсыз нәрсәләр яза, күз бәрелә инде."
Мондый пиздец тәкъдим белән килмә.,Мондый бик начар тәкъдим белән килмә.
"Бу таблица хуй белән тутырылган, логикасы юк.","Бу таблица җавапсыз тутырылган, логикасы юк."
Әле бу тәкъдимең — тулы пиздец.,Әле бу тәкъдимең — тулы бик начар нәрсә.
"Бу постоянно туалетта бук сойли,уйында только бук и туалет.Син туалет хужасы бугай.","Бу постоянно туалетта эшсойли,уйында только эши туалет.Син туалет хужасы бугай."
электэн кучеп килгэн ике баланын берсенеке юкка чыга. экэмээээээт. туземлек калмады.,электэн кучеп килгэн икярамый сүзаланын берсенеке юкка чыга. экэмээээээт. туземлек калмады.
"Бу отчёт — пиздец, аңлатма юк.","Бу отчёт — бик начар, аңлатма юк."
"Синең бу фикерләр — тулы хуйнә, ничек шулай уйлыйсың?","Синең бу фикерләр — тулы урынсызлык, ничек шулай уйлыйсың?"
"Бу хәрәкәткә аңлатма табуы авыр, чама юк иде.","Бу хәрәкәткә аңлатма табуы авыр, чамасы юк иде."
Кем шулай ебланча эшләгән тагын?,Кем шулай бик аңлашылмыйча эшләгән тагын?
"татарча яз, кутенне корт чаккыры!!!","татарча яз, артык тупас сүзенне корт чаккыры!!!"
"ну вот ничего себе,ну иди-ка ты в жопу кызый,бер тишеген сасыганын котеп йорисен ахрысы,кит уйнап йормэ,ике малайны башка баш бастырмыйча гына!жунсез...тьфу кит сузем юк!","ну вот ничего сярамый сүзе,ну иди-ка ты в жопу кызый,бер тишеген сасыганын котеп йорисекирәкмирысы,кит уйнап йормэ,ике малайны башка баш бастырмыйча гына!жунсез...тьфу кит сузем юк!"
"Татарча язарга өйрәнең инде, чынлапта кутакбашлар икәнсез!!!!!!!","Татарча язарга өйрәнең инде, чынлапта артык тупас сүзакбашлар икәнсез!!!!!!!"
Бу план — хуево эшләнгән.,Бу план — бик начар эшләнгән.
"Хәзерге трафик хрень, бөтен кешеләр тыгылышып йөри","Трафик бүген бик начар, кешеләр тыгыз йөри"
Татарча группада маржалар язмасын иде!,Татарча группада чит кеше лар язмасын иде!
кемнен кутагын оргвтылар?,кемнен артык тупас сүзагын оргвтылар?
"Тагын кемдер монда бөтен әйберне чәчеп ташлады, шайтан төкерсен","Монда тагын бөтен әйберне чәчеп ташлаганнар, тәртип юк"
Вот алар мина узлэре букка чебен кебек ябеште бик.,Вот алар мина узлэрярамый сүзукка чярамый сүзен кярамый сүзек ябештярамый сүзик.
Усыра Усыра контакта утырам белэт!!,Усыра Усыра контакта утырам белэт!!
"Бу таблица тулысынча хуй белә ничек ясалган, аңлашылмый","Таблица бөтенләй дөрес төзелмәгән, аңлап булмый"
"Бу хәбәрне укыгач, мин пиздец дип елып куйдым","Бу хәбәрне укыгач, күңелем бушап китте"
Өстәлдәге эшләрне тәртипкә китереп куйдым,Өстәлдәге эшләрне тәртипкә китереп куйдым
"Матвей, инет ничек дип сорамвдым мин синён блин","Матвей, инет ничек дип сорамвдым мин синён блин"
Мондый сузлэрне эйткэнче ук чыгып асылын ангыра!!! Авызын ни эйткэнне колагын ишетсен!!!,Мондый сузлэрне эйткэнче ук чыгып асылын ангыра!!! Авызын ни эйткэнне колагын ишетсен!!!
"заебали талашып!!! бишегез биш телдэ сойлэшэсез, бер-берегезне анламыйсыз, и телэмисез дэ анларга.","заярамый сүзали талашып!!! бишегез биш телдэ сойлэшэсез, бер-берегезне анламыйсыз, и телэмисез дэ анларга."
Дусларыбыз белән паркта прогулка ясадык,Дусларыбыз белән паркта прогулка ясадык
"Бу программа тагын ватылды, блять, иртәннән бирле түзмим инде","Программа тагын эшләми, иртәннән бирле проблема"
Монда кем хуй эшләгән тагын?,Монда кем начар эшләгән тагын?
Синең бу эшләрең башкалар өчен уңайсызлык тудыра.,Синең бу эшләрең башкаларга уңайсыз.
"Синең белән эшләү — авыр түгел, ә тәмам газап!","Синең белән эшләү — авыр, әмма мөмкин."
Синең белән бәхәсләшү — дивар белән сугышу кебек!,Синең белән бәхәсләшү — файдасыз әйбер кебек!
Буген 1 мэктэптэ бер кыз кластташына сикерэ сугышалар теге кызга похуй бугай сикерэ бирешми МОЛОДЕЦ!!! Исемен генэ белмим языр инде.,Буген 1 мэктэптэ бер кыз кластташына сикерэ сугышалар теге кызга похуй бугай сикерэ бирешми МОЛОДЕЦ!!! Исемен генэ белмим языр инде.
"Монда тагын пиздец килеп чыккан, аңлашылмый.","Монда тагын бик начар хәл килеп чыккан, аңлашылмый."
Минем авызны ябырга кем булдын эле???,Минем авызны ябырга кем булдын эле???
"без не обсираем,а уз мнениебезне эйтэбез","без не обсираем,а уз мнениярамый сүзезне эйтэбез"
ҽп мҽнән һабын бүләк һиңә дурак,ҽп мҽнән һабын бүләк һиңә дурак
"бер дэ килешми егет кешегэ болай итеп манка агызып утыру! так и хочется сказать ""соберись, тряпка!""","бер дэ килешми егет кешегэ болай итеп манка агызып утыру! так и хочется сказать ""соберись, тряпка!"""
"ничек шундый кеше матур булсын инде. и главное, нафига те пьяница?!","ничек шундый кеше матур булсын инде. и главное, нафига те пьяница?!"
Син еш кына артык салкын караш күрсәтәсең.,Син еш кына салкын караш күрсәтәсең.
Э кыз булса куп итеп сегешкэн була кутенэ,Э кыз булса куп итеп сегешкэн була артык тупас сүзенэ
"Син команданы еблан кебек кисәсен, мотивация юк.","Син команданы бик аңлашылмый итеп кисәсен, мотивация юк."
"Болай да вакыт юк, ә син тагын бәреп кереп баш катырдың!","Болай да вакыт аз, ә син тагын килеп баш катырдың!"
"сине анда барыбер котеп ятмыйлар,так что,сиди ровно на жопе","сине анда барыбер котеп ятмыйлар,так что,сиди ровно на жопе"
"Да, Бабай белеп сугә! Хотя Путиннын ул крокодильи слёзы, маймылланып утыра инде, уффф!","Да, Бабай белеп сугә! Хотя Путиннын ул крокодильи слёзы, маймылланып утыра инде, уффф!"
"Французский поцелуй дип атала ул, э телне авызга тыгу дип тугел ебнврт!)))","Французский поцелуй дип атала ул, э телне авызга тыгу дип тугел ярамый сүзнврт!)))"
Әле бу план — чын пиздец.,Әле бу план — чын бик начар нәрсә.
Син кешеләрне тыңларга теләмисең кебек.,Син кешеләрне тыңларга теләмисең шикелле.
"Ул кичә стримда еблан булып утырды, бер файда китермәде.","Ул кичә стримда бик аңлашылмыйча утырды, бер файда китермәде."
"Кирәкмәс иде шулай кылану, кешеләр рәнҗеп бетте.","Болай кыланмасаң да була иде, кешеләр рәнҗеде."
Бу комментлар — чистый хуйнә һәм токсик.,Бу комментлар — чистый урынсыз һәм токсик.
"Нигә син бүген тагын шул ук хреньне кылдың, башың бөтенләй эшләми мени","Нигә син бүген тагын шул ук нәрсәне кылдың, башың бөтенләй эшләми мени"
Син тагын еблан стильдә җавап бирдең клиентка.,Син тагын бик аңлашылмый стильдә җавап бирдең клиентка.
"Башыңа кияргә кирәк , башыңа кызу суккан ,аңсыз егылгансың , андый чакта күтеңне сегүчеләр табыла","Башыңа кияргә кирәк , башыңа кызу явыз кеше н ,аңсыз егылгансың , андый чакта артык тупас сүзеңне сегүчеләр табыла"
"Кемдер монда туңдыргычны ачык калдырган, җенетем кузгала","Монда кемдер туңдыргычны ачык калдырган, һәм ул эри башлаган"
Син тагын пиздец кебек җавап бирдең.,Син тагын бик начар итеп җавап бирдең.
Кем бу ситуацияне пиздецка әйләндергән?,Кем бу ситуацияне бик начар хәлгә әйләндергән?
Әллә нигә син бүген артык кискен сөйләшәсең.,Син бүген нигәдер артык кискен сөйләшәсең.
Кем хоккей карый?) Акбарс лох!!!!,Кем хоккей карый?) Акбарс булдыксыз кеше
Монда тагын хуйнә башланган.,Монда тагын урынсызлык башланган.
"Син шулай эшли башласаң, безгә пиздец киләчәк","Син болай эшләсәң, безгә зур проблема булачак"
"Сегенмэгез эле монда,татар хатыны булса сезгэ БИК шатланыр идегез,авчарка Хэзер ирлэр,орэ генэ белэлэр,э эшлэселэре килми блятлэрнен","Сегенмэгез эле монда,татар хатыны булса сезгэ БИК шатланыр идегез,авчарка Хэзер ирлэр,орэ генэ белэлэр,э эшлэселэре килми блинлэрнен"
Бу документ — тулы ебланлык.,Бу документ — тулы аңлашылмаучанлык.
Бу отчёт — тулы хуево язылган текст.,Бу отчёт — тулы бик начар язылган текст.
"Кызлар, йори торган егетегез ебаться кушса, нишлэр идегез?","Кызлар, йори торган егетегез ярамый сүзаться кушса, нишлэр идегез?"
"Бу компьютер тагын ватыла башлады, шайтан алгыры, нәрсә за пиздец булды тагын","Бу компьютер тагын эшләми башлады, зур проблема туды"
Нигә син үз сүзеңне генә дөрес дип кычкырасың?,Нигә син үз сүзеңне генә дөрес дип яклыйсың?
Бу маршрут хуй белә нинди катлаулы булып чыкты,Бу маршрут бик катлаулы булып чыкты
Бу таблица — ебланча тулган.,Бу таблица — бик аңлашылмыйча тулган.
"Мин бу очракны күрдем дә, пиздец дип уйладым","Бу очракны күреп, бик авыр хәл дип уйладым"
Сина уч итеп куйгандыр бэлкем?! Фигня белэн башынны катырма эле,Сина уч итеп куйгандыр бэлкем?! юк-бар әйбербелэн башынны катырма эле
"Мин бу хәлгә кердем дә, пиздец дип шок булдым","Бу хәлне күргәч, аптырап калдым"
Әнә теге тавыш җен кебек төн буе чыңлый,Әнә теге тавыш төн буе борчый
Бу компьютерның тавышы — чистый хрень,Бу компьютер тавышы уңайсыз һәм каты
"Нигә син бу вакытта шулай ахмак булып кала беләсең, башыңа җен кунганмы","Нигә син бу мизгелдә шулай ахмак хәлдә калдың, уйлап эшләргә кирәк иде"
"Башында бер уй, бот арасындагы хуй)","Башында бер уй, бот арасындагы хуй)"
Синең сүзләрең һәрвакыт каты яңгырый.,Синең сүзләрең һәрвакыт артык туры яңгырый.
Жыен инвалид жырлар кутак башына олэгэ,Жыен инвалид жырлар артык тупас сүзак башына олэгэ
Ул ат кебек ыржая дип әйтергә дә мөмкин :) Яки аттай ыржайдырды,Ул ат кярамый сүзек ыржая дип әйтергә дә мөмкин :) Яки аттай ыржайдырды
"Айнур.Джамшед!башта яхшылап укыгыз авторнын нэрсэ эйтэсе килгэнен,бармак белэн кут....ы бутамагыз!","Айнур.Джамшед!башта яхшылап укыгыз авторнын нэрсэ эйтэсе килгэнен,бармак белэн артык тупас сүзы бутамагыз!"
"Сиңа барыбер булып кына кешеләрнең күте сегелми , синекен можно,барыбер булгач.","Сиңа барыбер булып кына кешеләрнең артык тупас сүзе сегелми , синекен можно,барыбер булгач."
"татарча языгыз,яптырныйлар!!","татарча языгыз,яптырныйлар!!"
Син тагын хуево аңлаткансың.,Син тагын бик начар аңлаткансың.
Укытучы дәрестә кыен теманы аңлаешлы итеп аңлатты,Укытучы дәрестә кыен теманы аңлаешлы итеп аңлатты
"Син узен кутак баш кына тугел, хэм бэтэк куз! - мин хэр вакытостэн укый башлайм","Син узен артык тупас сүзак баш кына тугел, хэм бэтэк куз! - мин хэр вакытостэн укый башлайм"
"Син бу эшне башлагансың да, хуй белән ташлап киткәнсең кебек","Син эшне башлагансың да, ахырына кадәр җиткермәгәнсең"
"узеннен матур фотанны куй,э бу тилелекне алып куй!)","узеннен матур фотанны куй,э бу тилелекне алып куй!)"
"Кая барсаң да тавыш, низаг чыгарасың!","Кая барсаң да бәхәс, тавыш чыгарасың!"
"Бу кырмыска тозагы — чистый хрень, эшләми","Бу тозак тотмый, нәтиҗә бирми"
Мондый пиздец җавап белән килмә.,Мондый бик начар җавап белән килмә.
"Бу мәлгунь тагын шалтырата, җен аласын, тынычлап булмый","Бу кеше тагын шалтырата, тынычлык бирми"
"Монда тагын су баскан, блять, берүк төзәтмиләр","Монда су баскан, төзәтү кирәк"
"Бу шалтырату сервисы — чистый хрень, җавап бирмиләр","Бу шалтырату хезмәте җавап бирми, уңайсыз"
Сиясе килэНу син усырык ярым,Сиясе килэНу син усырык ярым
"Эй, хули комментны удалил? немес блят! Атып утермэкче идем инде сине","Эй, хули комментны удалил? немес блинАтып утермэкче идем инде сине"
жуляр бятяк какой то,жуляр бятяк какой то
"Дуслар, монда карагыз, нәрсә урыс кутакбашлар языла!)","Дуслар, монда карагыз, нәрсә урыс артык тупас сүзакбашлар языла!)"
барсыда бер торле дигэнгэ ышана башладым инде бля,барсыда бер торле дигэнгэ ышана башладым индярамый сүзлин
Нигә син һәр фикереңне кычкырып әйтәсең?,Нигә син һәр фикереңне артык көчле итеп әйтәсең?
"миңа барда ошый,ә менә син нишләп аларны скипидарочка дип язасың,оятсыз!!!","миңа барда ошый,ә менә син нишләп аларны скипидарочка дип язасың,оятсыз!!!"
"Кичә чатта пиздец спор булды, фактларсыз.","Кичә чатта бик начар спор булды, фактларсыз."
"Хайван тугел бу,ишэк бу,тотып кутен сегэргэ,и кастрюльне сидеге белэн башына киертергэ,хэшэрэт","Хайван тугел бу,ишэк бу,тотып артык тупас сүзен сегэргэ,и кастрюльне сидегярамый сүзелэн башына киертергэ,хэшэрэт"
"Шэп булган бу. продолжай в том же духе, маржалар эйткэндэй00","Шэп булган бу. продолжай в том же духе, чит кеше лар эйткэндэй00"
"Бу ысул — тулы хуйнә, кабул итмим.","Бу ысул — тулы урынсызлык, кабул итмим."
Синең бүгенге идеяләр — чистый хуево качество.,Синең бүгенге идеяләр — чистый бик начар качество.
болай с*генеп мин кем дип мытырдап йорсэн синен точно когда нибудь кутенэ тибэлэр,болай сүгенеп мин кем дип мытырдап йорсэн синен точно когда нибудь артык тупас сүзенэ тибэлэр
Командада бүген чистый пиздец атмосфера иде.,Командада бүген чистый бик начар атмосфера иде.
"хэзер мин уйлыйм, ул миннэн заебался дип","хэзер мин уйлыйм, ул миннэн заярамый сүзался дип"
"Ахахах, ухухух бля колдермэгез инде, ул черегэн тополь ата дип уйлыйсыз чтоль?","Ахахах, ухухух блинколдермэгез инде, ул черегэн тополь ата дип уйлыйсыз чтоль?"
Син үзеңне бөтен нәрсәдә иң акыллы дип саныйсың шикелле.,Син үзеңне бар нәрсәдә иң дөрес дип уйлыйсың шикелле.
Чуркалар сыман кыланмагыз.Живите тише.,Чуркалар сыман кыланмагыз.Живите тише.
"Бу график — пиздец, бөтен саннар буталган","Бу график бик буталчык, саннар туры килми"
Сөйләгән сүзләрең — пиздец инде.,Сөйләгән сүзләрең — бик начар инде.
"Task-лист хуйга әйләнгән, кем нәрсә эшли — аңлашылмый.","Task-лист буталчыкка әйләнгән, кем нәрсә эшли — аңлашылмый."
азрак кына вежливыйрак булыгыз зинхар!!!!!! а то террористлар кергэн кебек!!,азрак кына вежливыйрак булыгыз зинхар!!!!!! а то террористлар кергэн кярамый сүзек!!
"Мина наезд ясау кирэкми монда, просто язганда ни язганыгызны уйлап языгыз яппашмайтьлар!","Мина наезд ясау кирэкми монда, просто язганда ни язганыгызны уйлап языгыз яппашмайтьлар!"
Бу спринт-планинг хуй дәрәҗәсендә оештырылган.,Бу спринт-планинг начар дәрәҗәсендә оештырылган.
"Бу бурычның нәтиҗәсе — пиздец, берни туры түгел",Бу бурычның нәтиҗәсе бик уңышсыз
"Бу FAQ ебланнар өчен язылган кебек, нормаль кеше аңламый.","Бу FAQ бик аңлашылмый язылган кебек, нормаль кеше аңламый."
"Кутенне кутэреп китапханэгэ барып кайт,яп..ялан баш!","артык тупас сүзенне артык тупас сүзэреп китапханэгэ барып кайт,яп..ялан баш!"
"Мин, бля машинанын аварийкаларын кушып сигналын укертеп дальний белэн терэп куеп утеп китэ торган булам нахуй;)","Мин, блинмашинанын аварийкаларын кушып сигналын укертеп дальний белэн терэп куеп утеп китэ торган булам кирәкми"
Узегезне белегездэ утырыгыз ул сезне ебет ме эллэ?,Узегезнярамый сүзелегездэ утырыгыз ул сезне ярамый сүзет ме эллэ?
Бэтэк авыз блят,Бэтэк авыз блин
"Дөрес сүзгә җәвап юк , норкаман булганчы бләт булуың күпкә яхшы.","Дөрес сүзгә җәвап юк , норкаман булганчы бләт булуың күпкә яхшы."
"И самый главный хатын кызлар яза бит,сезгэ ОЯТ былырга кирэк. Фу белэт . Сезнен очен ОЯТ бу","И самый главный хатын кызлар яза бит,сезгэ ОЯТ былырга кирэк. Фу белэт . Сезнен очен ОЯТ бу"
Менэ шулай-урыска узенен референдумыгына референдум-безнекенэ алар тэкорэлэр.,Менэ шулай-урыска узенен референдумыгына референдум-безнекенэ алар тэкорэлэр.
"Бу кейс — пиздец пример, ничек эшләргә ярамый.","Бу кейс — бик начар пример, ничек эшләргә ярамый."
"Бу калькулятор хрень саный, бөтен нәтиҗәләр кәкре","Бу калькулятор дөрес санамый, нәтиҗәләре буталчык"
Кутагама кирэк Иден бл,артык тупас сүзагама кирэк Иден бл
"Кызлар, сезнен ничек кутегез катмый ул? Бер кат колготкий белэн йореп!","Кызлар, сезнен ничек артык тупас сүзегез катмый ул? Бер кат колготкий белэн йореп!"
Кешеләр сиңа нидер әйтергә курка башлады инде.,Кешеләр сиңа сүз әйтергә дә уңайсызлана башлады.
Бу ситуация — чын хуй хәл.,Бу ситуация — чын начар хәл.
"Сасы диеп тормыйсындыр эле, кич житкач янына менеп ятасындыр , шул сасыны капшарга!!!","Сасы диеп тормыйсындыр эле, кич житкач янына менеп ятасындыр , шул сасыны капшарга!!!"
Фидбек бирү урынына син пиздец скандал куптарды.,Фидбек бирү урынына син бик начар скандал куптарды.
Кадамыйлар миңа әфьюн – юләрләнмә!,Кадамыйлар миңа әфьюн – юләрләнмә!
"бер кыз минем егетемне ярата, бэреп утерэсем килэ ул дураны!","бер кыз минем егетемне ярата, бэреп утерэсем килэ ул дураны!"
Бу җөмлә — ебланча төзелгән.,Бу җөмлә — бик аңлашылмыйча төзелгән.
Әнә тагын бер пиздец чыгып чыкты.,Әнә тагын бер бик начар хәл килеп чыкты.
Монсын син бөтенләй хуево эшләгәнсең.,Монсын син бөтенләй бик начар эшләгәнсең.
"Мин кичә чатны укыдым, анда пиздец амавыз барган.","Мин кичә чатны укыдым, анда бик начар сүзләшү барган."
Кем эчми шул кутак баш,Кем эчми шул артык тупас сүзак баш
"Ааа.... улэм... кутенэ язган булсан, кызыксыныбрак караган булырлар иде!","Ааа.... улэм... артык тупас сүзенэ язган булсан, кызыксыныбрак караган булырлар иде!"
"Бу аңлатма — ебланча язылган, укып булмый.","Бу аңлатма — бик аңлашылмыйча язылган, укып булмый."
"син чистай телесериала тогда, ангыра блэ.к врачу сходи,не помешает!!","син чистай телесериала тогда, ангыра блинк врачу сходи,не помешает!!"
Сөйләшүеңдә җылылык җитми.,Сөйләшүеңдә җылылык җитми.
Нигә син шулай авыр холык күрсәтеп торасың?,Нигә син шулай кырыс холык күрсәтәсең?
Кешелэр хайваннар утырмый дип уйлыйм монда,Кешелэр хайваннар утырмый дип уйлыйм монда
